question,label
What are the requirements for a bias audit and what is test data in the context of a bias audit?,LABEL_1
What is the definition of 'test data' and what are the requirements for a bias audit of an AEDT?,LABEL_1
What is the definition of test data and when can an employer or employment agency rely on a bias audit that uses test data?,LABEL_1
"What methods can an employer or employment agency use to provide notice to a candidate for employment, and what information must they make publicly available before the use of an AEDT?",LABEL_1
What is the definition of test data and what are the requirements for a bias audit of an AEDT?,LABEL_1
What is the purpose and when can an employer rely on a bias audit?,LABEL_1
What is the definition of an automated employment decision tool and what are the penalties for violating the requirements?,LABEL_1
What are the requirements for using an automated employment decision tool and what penalties are imposed for violating these requirements?,LABEL_1
"What are the requirements for an employer or employment agency to comply with § 20-871(b)(1) and (2) of the Code, and what information must be made publicly available before the use of an AEDT?",LABEL_1
"What is required for an employer or employment agency to use an automated employment decision tool, and what penalties can be imposed for violations of the subchapter regarding automated employment decision tools?",LABEL_1
What is the definition of 'Automated Employment Decision Tool' and what is a 'Bias audit'?,LABEL_1
What are the requirements for a bias audit and what is test data?,LABEL_1
What must an employer or employment agency provide in a bias audit and what are the options for providing notice to a candidate for employment?,LABEL_1
What are the requirements and purpose of conducting a bias audit?,LABEL_1
What is the meaning of 'simplified output' and 'impact ratio'?,LABEL_1
What is a bias audit and what information should be publicly available before using an AEDT?,LABEL_1
What is the definition of 'employment decision' and what are the requirements for using an automated employment decision tool?,LABEL_1
What are the requirements for a bias audit of an AEDT and what is test data?,LABEL_1
What is the purpose of a bias audit and under what circumstances can an employer rely on it using historical data from other employers?,LABEL_1
What is the definition of an automated employment decision tool and what are the requirements for using it?,LABEL_1
"What is the definition of an automated employment decision tool, and what are the penalties for violating the requirements associated with it?",LABEL_1
What is the relationship between the definition of 'test data' in a bias audit and the requirements for a bias audit of an AEDT?,LABEL_1
What is the relationship between the effective date of this local law and the file number and version of the associated document?,LABEL_1
What are the differences and similarities between the requirements for publicly available information on the employment section of a website before the use of an AEDT and the options for an employer or employment agency to provide notice to a candidate for employment regarding the use of an AEDT?,LABEL_1
How does the data requirements for a bias audit relate to the process of assessing the impact of an AEDT on different categories?,LABEL_0
"Where can a proceeding to recover a civil penalty be returnable, and who has the authority to initiate an action or proceeding for correction of any violation?",LABEL_1
What is the relationship between the definition of an automated employment decision tool and the requirements for using such a tool?,LABEL_1
"What is the relationship between test data and the requirements for a bias audit, and how do they differ?",LABEL_1
"What are the differences and similarities between 'selection rate' and 'scoring rate', and how do they relate to each other?",LABEL_1
What calculations are required in the bias audit and when can an independent auditor exclude a category from these calculations?,LABEL_0
What is the relationship between the definition of test data and when an employer or employment agency can rely on a bias audit that uses test data?,LABEL_1
"What is the relationship between the calculations in a bias audit of an AEDT and the requirements for the published results, and how do they differ?",LABEL_1
What is the relationship between the calculations required for the bias audit and the exclusion of categories from the impact ratio?,LABEL_1
What are the requirements and penalties associated with using an automated employment decision tool?,LABEL_1
"What is the relationship between an automated employment decision tool and the requirements for using it, and how do they impact employment decisions?",LABEL_1
"What are the requirements for an employer or employment agency to comply with § 20-871(b)(1) and (2) of the Code, and how do they compare to the information that must be made publicly available before the use of an AEDT?",LABEL_1
"What are the differences and similarities between the definitions of 'Scoring Rate' and 'Screen', and how do they relate to each other?",LABEL_1
What is the relationship between the definition of 'Automated Employment Decision Tool' and the requirement for using such a tool in the city?,LABEL_1
What is the relationship between the definition of 'employment decision' and the requirements for using an automated employment decision tool?,LABEL_1
What is the relationship between the requirements for a bias audit and the concept of test data?,LABEL_1
What is the relationship between the purpose of a bias audit and when an employer can rely on a bias audit that uses test data?,LABEL_1
"What are the definitions of 'Automated Employment Decision Tool' and 'Bias Audit', and how are they related according to § 20-870 of the Code?",LABEL_1
What are the requirements and penalties associated with the use of automated employment decision tools?,LABEL_1
"What are the requirements for an employer or employment agency to provide information about the use of an AEDT on their website, and how can they notify candidates about it?",LABEL_1
"What are the requirements for an employer to provide information on their website regarding their AEDT, and how does it compare to the notice requirements for candidates for employment?",LABEL_1
An employer in the city of New York wants to use an automated employment decision tool to screen candidates for a job position. What requirements must be met in order for the employer to use the tool?,LABEL_1
An employer has been using an AEDT for 3 years and will soon need an updated bias audit. Can the employer rely on a bias audit conducted using test data?,LABEL_1
"If an employer in New York City uses an automated employment decision tool to screen candidates for a promotion within the city, what information must be disclosed to the candidates?",LABEL_1
"If an employer or employment agency violates the requirements for using an automated employment decision tool, what penalties may they face?",LABEL_1
An employer wants to conduct a bias audit to assess the impact of their hiring process on different race/ethnicity categories. Can they rely on a bias audit that uses test data instead of historical data?,LABEL_1
Does this local law limit the authority of the commission on human rights to enforce the provisions of title 8?,LABEL_1
An employer in the city wants to use an AEDT for employment decisions. How should the employer provide notice to candidates for employment who reside in the city?,LABEL_1
"If an employer or employment agency uses an automated employment decision tool to screen a candidate or employee for an employment decision in New York City, what notices are they required to provide?",LABEL_1
An employer uses an AEDT to score applicants for 'culture fit.' The AEDT conducted a bias audit that excluded a category representing less than 2% of the data used. Is this exclusion allowed under the law?,LABEL_0
"If an employer in the city of New York uses an automated employment decision tool to screen a candidate for an employment decision, what are the requirements under the law?",LABEL_1
"An employer is using an AEDT to screen candidates for a job position. The AEDT assesses candidates based on 'culture fit.' According to the provided context, what are the requirements for conducting a bias audit of the AEDT?",LABEL_1
Suppose an employer in New York City uses an automated employment decision tool to screen candidates for employment. What are the requirements for the use of such a tool according to the local law?,LABEL_1
"An employer in the city of New York wants to use an automated employment decision tool to screen candidates for a job opening. According to the provided context, what requirements must the employer fulfill before using the tool?",LABEL_1
An employer has been using an AEDT for 3 years and will soon need an updated bias audit. Can the employer rely on a bias audit conducted using historical data from its own use of the AEDT?,LABEL_1
An employer in New York City wants to use an automated employment decision tool to screen candidates for a job opening. What requirements must the employer meet in order to use the tool?,LABEL_1
"If a person wants to initiate a proceeding to recover a civil penalty authorized by this subchapter, where can the proceeding be returnable?",LABEL_0
"If a person wants to recover a civil penalty authorized by this subchapter, where can they bring a proceeding?",LABEL_0
"An employer in the city uses an automated employment decision tool to screen candidates for a job position. According to the provided context, what requirements must be met for the use of such tool to be lawful?",LABEL_1
"An employer uses an AEDT to score applicants for 'culture fit.' According to the provided context, what must the employer ensure in order to use the AEDT?",LABEL_0
An employer wants to use an AEDT to screen resumes and schedule interviews for a job posting. What are the requirements for a bias audit of the AEDT?,LABEL_1
"Suppose an employer in New York City uses an automated employment decision tool to make hiring decisions. According to the rules mentioned in the context, what are the requirements for the use of such a tool under Local Law 144 of 2021?",LABEL_1
An employer wants to use an AEDT to screen resumes and schedule interviews for a job posting. Does the employer need to conduct a bias audit of the AEDT?,LABEL_1
"If an employer in New York City uses an automated employment decision tool to screen candidates or employees for an employment decision, what requirements must be met?",LABEL_1
An employer in the city of New York wants to use an automated employment decision tool to screen candidates for a job opening. What requirements must the employer meet in order to use the tool?,LABEL_1
What is the purpose?,LABEL_0
What calculations are required?,LABEL_0
What should be in the summary?,LABEL_0
What is the role of the AEDT?,LABEL_0
What is the purpose of a bias audit?,LABEL_0
What are the requirements?,LABEL_1
What is an automated employment decision tool?,LABEL_0
What does 'Bias Audit' mean?,LABEL_0
What are the criteria for a bias audit?,LABEL_0
What does an automated employment decision tool mean?,LABEL_0
What are the criteria for an AEDT bias audit?,LABEL_0
Where can the proceeding be brought?,LABEL_0
What is the meaning of 'selection rate'?,LABEL_0
Where can it be returned to?,LABEL_0
What does 'Impact Ratio' mean?,LABEL_0
What is the meaning of 'Bias Audit'?,LABEL_0
What are the conditions?,LABEL_0
What needs to be publicly available?,LABEL_0
What are the notification options?,LABEL_1
Where is the proceeding returnable?,LABEL_0
What does 'Historical data' mean?,LABEL_0
What are the required calculations?,LABEL_0
What are the requirements for the results?,LABEL_1
What's included in the summary?,LABEL_0
What is the role of a bias audit in relation to automated employment decision tools?,LABEL_0
What are they?,LABEL_0
What are the available methods?,LABEL_0
Where can it be?,LABEL_0
What is its purpose?,LABEL_0
What is the objective?,LABEL_0
What are they?,LABEL_0
What are they?,LABEL_0
What are they?,LABEL_0
What is it called?,LABEL_0
What are they?,LABEL_0
Where can it be returned?,LABEL_0
What is the definition?,LABEL_0
Where can it be?,LABEL_0
What is it?,LABEL_0
What is its meaning?,LABEL_0
What should be included?,LABEL_0
What is the purpose of the bias audit?,LABEL_0
What is the purpose?,LABEL_0
What is the meaning of it?,LABEL_0
What is the purpose?,LABEL_0
What are the necessary details?,LABEL_0
What is the definition?,LABEL_0
What is it?,LABEL_0
What is it?,LABEL_0
Where can it be?,LABEL_0
What is the legislation that would come 5 years after this one?,LABEL_0
Which specifc people (give names) have developed the AEDT software?,LABEL_0
What additional specific data would need to be provided if we conduct a Bias Audit in Australia?,LABEL_0
What was the specific words said by the stakeholders when they reviewed the proposed rules?,LABEL_0
How long does the data retention policy under GDPR require the employer or employment agency to retain the information?,LABEL_1
Has there been a rule passed in New Zealand like this that was passed unanimously?,LABEL_0
"What is the required email address for sending the notice to a candidate for employment, if I choose to do it by email?",LABEL_1
What specific companies are responsible for conducting the bias audit of an automated employment decision tool?,LABEL_0
In which specific courts in New York City can the corporation counsel initiate actions or proceedings?,LABEL_0
How long are employers required to retain the data collected by the automated employment decision tool?,LABEL_0
What specific comments did the Department receive from the public regarding the proposed rule?,LABEL_0
What is the name of the person responsible for conducting the bias audit of the AEDT?,LABEL_0
Did John develop the AEDT?,LABEL_0
What was the specific sentiment of the comments received about the proposed rule?,LABEL_0
What is the average age of the male applicants in the White category?,LABEL_0
Within how many days will the requested information be provided to a candidate or employee?,LABEL_0
What are the factors that determine the simplified output if we were to use a tool to decide which companies to sign deals with?,LABEL_0
What is the impact ratio for non-binary applicants?,LABEL_1
"According to the policy document, what is the definition of 'Candidate for Promotion'?",LABEL_0
Who is the best person to go to if I need them to conduct a bias audit?,LABEL_0
What type of data does the vendor provide regarding applicant selection in Venezuela?,LABEL_0
