question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
What is the definition of 'automated employment decision tool'?,LABEL_0,12,0,1841,0,143,1853,143
What is the purpose of a bias audit for automated employment decision tools?,LABEL_0,14,0,1943,0,91,1957,91
What are the requirements for the published results of the bias audit?,LABEL_1,13,0,2101,0,223,2114,223
Where can a proceeding to recover a civil penalty authorized by this subchapter be returnable to?,LABEL_1,19,0,2009,0,76,2028,76
In which tribunals or agencies can a proceeding to recover a civil penalty be filed according to the subchapter?,LABEL_0,23,0,1403,0,54,1426,54
"What are the specific calculations and requirements for conducting a bias audit of an AEDT, including the categories that need to be considered and the conditions under which historical data or test data can be used?",LABEL_1,40,0,1845,0,255,1885,255
What is the definition of 'Impact Ratio' and how is it calculated in relation to the selection rate or scoring rate of different categories?,LABEL_1,27,0,2561,0,145,2588,145
When does this local law come into effect?,LABEL_0,9,0,1099,0,20,1108,20
What is the difference between historical data and test data in the context of conducting a bias audit for an AEDT?,LABEL_1,24,0,2286,0,175,2310,175
What are the requirements for conducting a bias audit for an AEDT? Can an employer or employment agency use test data for the bias audit if there is insufficient historical data available?,LABEL_1,36,0,2052,0,178,2088,178
"According to the document, what is the definition of 'Candidate for Employment'?",LABEL_0,15,0,1584,0,43,1599,43
Can you explain the meaning of 'Bias Audit' as defined by § 20-870 of the Code?,LABEL_0,22,0,1397,0,135,1419,135
"What are the steps and criteria for conducting a bias audit of an AEDT, including the calculation of impact ratios for different categories such as sex, race/ethnicity, and intersectional categories?",LABEL_1,40,0,2366,0,675,2406,675
What information does an employer or employment agency need to make publicly available before using an AEDT?,LABEL_1,20,0,2278,0,149,2298,149
To which tribunals or agencies can a proceeding to recover a civil penalty authorized by this subchapter be brought?,LABEL_0,23,0,1272,0,72,1295,72
"What are the specific calculations that must be performed in a bias audit of an AEDT for candidate selection or promotion, and what are the categories that these calculations must be separately performed for?",LABEL_1,38,0,2353,0,278,2391,278
What specific calculations must be performed for each category in a bias audit of an AEDT?,LABEL_0,19,0,1467,0,249,1486,249
What is the role of the AEDT in conducting bias audits and what are the requirements for using historical data in the audit?,LABEL_1,26,0,2021,0,248,2047,248
What is the definition of an automated employment decision tool and what are the requirements for its use in the city?,LABEL_1,22,0,2396,0,492,2418,492
What is the role of the AEDT in the bias audit and under what circumstances can an employer or employment agency rely on a bias audit using test data?,LABEL_1,32,0,1978,0,212,2010,212
"According to the document, what is the definition of 'employment decision' and what are the requirements for using an automated employment decision tool?",LABEL_1,27,0,2673,0,244,2700,244
"What are the specific calculations and requirements that must be performed during a bias audit of an AEDT for selection rates, impact ratios, and categories of sex, race/ethnicity, and intersectionality?",LABEL_1,41,0,2366,0,385,2407,385
"According to the information provided, what is the meaning of 'Bias Audit' in the context of automated employment decision tools?",LABEL_0,24,0,1943,0,123,1967,123
What is the distinction between historical data and test data in the context of conducting a bias audit for an AEDT?,LABEL_1,24,0,2327,0,135,2351,135
Under what condition can an independent auditor exclude a category from the required calculations for impact ratio?,LABEL_0,18,0,1769,0,76,1787,76
What are the requirements and notices that an employer or employment agency must comply with when using an automated employment decision tool to screen candidates or employees for an employment decision?,LABEL_1,32,0,2352,0,351,2384,351
What are the different methods available for an employer or employment agency to notify a candidate for employment residing in the city about the use of an AEDT?,LABEL_1,31,0,2050,0,127,2081,127
What are the criteria and calculations required for conducting a bias audit on the published results of an AEDT?,LABEL_1,22,0,2047,0,262,2069,262
What are the specific requirements that an employer or employment agency in the city must fulfill when using an automated employment decision tool to screen candidates or employees for employment decisions?,LABEL_1,32,0,2314,0,309,2346,309
To which tribunals can a proceeding to recover a civil penalty be returned in the context of automated employment decision tools?,LABEL_0,24,0,1595,0,63,1619,63
What does the term 'Bias Audit' refer to according to § 20-870 of the Code?,LABEL_0,21,0,1397,0,45,1418,45
How is the AEDT used in the bias audit to assess the demographic composition of applicants?,LABEL_0,19,0,1461,0,159,1480,159
What is the process for calculating the impact ratio in a bias audit of an AEDT?,LABEL_0,19,0,1491,0,150,1510,150
"According to the provided context, how is an 'automated employment decision tool' defined in terms of its impact on employment decisions?",LABEL_0,26,0,1853,0,70,1879,70
Under what circumstance can a category be excluded from the bias audit calculations?,LABEL_0,14,0,1284,0,78,1298,78
"In the context of the provided example, what are the two possible meanings of 'Impact Ratio'?",LABEL_0,19,0,1767,0,55,1786,55
"In the context of automated employment decision tools, how is 'employment decision' defined for the purpose of screening candidates or employees?",LABEL_0,25,0,2169,0,51,2194,51
What criteria must be met in order to exclude a category from the required calculations for the impact ratio in a bias audit of an AEDT?,LABEL_0,29,0,1468,0,99,1497,99
What are the specific requirements for conducting a bias audit of an AEDT using historical data?,LABEL_1,19,0,2423,0,120,2442,120
What are the options for an employer or employment agency to provide notice to a candidate for employment before the use of an AEDT if they have used the AEDT in the past?,LABEL_1,38,0,2233,0,135,2271,135
"According to § 20-870 of the Code, what does the term 'Bias Audit' mean?",LABEL_0,21,0,1462,0,34,1483,34
What calculations are required for a bias audit of an AEDT according to the new rules?,LABEL_1,19,0,2033,0,143,2052,143
Why is it important to conduct a bias audit for automated employment decision tools with regards to persons of any component 1 category required to be reported by employers?,LABEL_0,31,0,1524,0,156,1555,156
What are the requirements for conducting a bias audit of an AEDT used to screen resumes and schedule interviews for a job posting?,LABEL_1,26,0,1978,0,214,2004,214
How can an employer provide notice to candidates for employment about the use of an AEDT in compliance with the law?,LABEL_1,24,0,2434,0,153,2458,153
What criteria must be met for an automated employment decision tool to require a bias audit?,LABEL_0,17,0,1538,0,150,1555,150
What are the requirements for conducting a bias audit of an automated employment decision tool?,LABEL_1,16,0,2529,0,237,2545,237
Why is a bias audit necessary for automated employment decision tools in the context of this subchapter?,LABEL_0,19,0,1543,0,163,1562,163
What information should be included in the published results of the bias audit for the AEDT?,LABEL_0,19,0,1594,0,202,1613,202
"When conducting a bias audit for an AEDT, is it necessary to calculate the impact ratio for each race/ethnicity and sex category separately?",LABEL_1,30,0,2366,0,134,2396,134
To which tribunals can a proceeding to recover a civil penalty authorized by this subchapter be returnable?,LABEL_0,22,0,1686,0,59,1708,59
What are some methods that an employer or employment agency can use to provide notice to candidates for employment at least 10 business days before use of an AEDT?,LABEL_1,33,0,2512,0,102,2545,102
What calculations are required to be performed in a bias audit of an AEDT according to the new legislation?,LABEL_1,22,0,2033,0,198,2055,198
Are there any specific requirements or criteria that an automated employment decision tool must meet according to the local law in New York City?,LABEL_0,25,0,2214,0,350,2239,350
"I'm considering using an AEDT for the first time. Can I rely on a bias audit conducted using the historical data of other employers or employment agencies, or can I conduct a bias audit using test data? What is the definition of 'test data' in the context of a bias audit?",LABEL_0,60,0,1887,0,179,1947,179
I have been using an AEDT for 3 years and will soon need an updated bias audit. Can you tell me what information is included in the bias audit summary?,LABEL_1,35,0,1943,0,180,1978,180
Can you explain the definition of an Automated Employment Decision Tool (AEDT) according to Local Law 144 in New York City?,LABEL_0,27,0,1780,0,167,1807,167
Can you explain the definition of an automated employment decision tool according to Local Law 144 in New York City?,LABEL_0,22,0,1774,0,164,1796,164
Can you explain the meaning of test data in the context of a bias audit according to Local Law 144 and other policy documents?,LABEL_0,26,0,1711,0,251,1737,251
"I am an employer using an AEDT to score applicants for 'culture fit' and want to ensure a bias audit was conducted before using the AEDT. What is the threshold for excluding a category, such as sex or race/ethnicity, from the required calculations for impact ratio?",LABEL_1,59,0,2366,0,128,2425,128
"As a lawyer reviewing the requirements for bias audits in accordance with Local Law 144, can you explain what 'test data' means in the context of a bias audit?",LABEL_0,34,0,1695,0,157,1729,157
What are the requirements for a bias audit of an AEDT according to Local Law 144 and other policy documents?,LABEL_1,24,0,2162,0,467,2186,467
"As a legal consultant for Local Law 144 and other policy documents, I would like to know where a proceeding to recover a civil penalty authorized by this subchapter can be returned to.",LABEL_0,37,0,1267,0,55,1304,55
"As a lawyer working on Local Law 144 and other policy documents, I need information on the race and ethnicity categories in the selection process. Can you explain the purpose of the AEDT in the bias audit?",LABEL_1,43,0,2097,0,160,2140,160
"As a legal advisor for Local Law 144 and other policy documents, can you explain the definition of an automated employment decision tool?",LABEL_0,26,0,1843,0,122,1869,122
"As a business owner interested in learning about Local Law 144 and other policy documents, I would like to know where a proceeding to recover a civil penalty can be returnable?",LABEL_0,35,0,1643,0,67,1678,67
"As a student from Canada who will be studying in Europe, what can an independent auditor exclude from the required calculations for impact ratio?",LABEL_0,26,0,1361,0,93,1387,93
I have been using an AEDT for 3 years and will soon need an updated bias audit. Can you tell me what information must be included in the summary of results of a bias audit?,LABEL_1,40,0,1943,0,191,1983,191
What are the requirements for the published results of the bias audit for the AEDT?,LABEL_1,18,0,2163,0,223,2181,223
"As a legal chatbot for Local Law 144 and other policy documents, can you tell me where a proceeding to recover a civil penalty can be returnable?",LABEL_0,32,0,1966,0,65,1998,65
"As an employer who has been using an AEDT for 3 years and will soon need an updated bias audit, what are the requirements for conducting a bias audit?",LABEL_1,34,0,1978,0,191,2012,191
I'm reviewing policy documents related to bias audits and I'm seeking clarification on the definition of 'Impact Ratio'. Can you explain what 'Impact Ratio' means?,LABEL_1,32,0,2643,0,179,2675,179
Can you please explain the meaning of 'Bias Audit' as defined by § 20-870 of the Code?,LABEL_0,23,0,1397,0,118,1420,118
Can you explain the definition of an Automated Employment Decision Tool (AEDT) according to Local Law 144 of 2021 in New York City? I'm trying to understand how it applies to the new rules our company is implementing.,LABEL_0,48,0,1780,0,250,1828,250
What are the methods an employer or employment agency can use to provide notice to candidates for employment according to Local Law 144?,LABEL_2,25,0,2393,0,111,2418,111
"In the context of a company in New York City using an automated employment decision tool to screen candidates and employees, what is the definition of an automated employment decision tool?",LABEL_0,33,0,1772,0,108,1805,108
Can you please explain the meaning of 'Bias Audit' as defined by § 20-870 of the Code in the context of Local Law 144?,LABEL_0,31,0,1741,0,207,1772,207
"As a legal chatbot for Local Law 144 and other policy documents, can you tell me where a proceeding to recover a civil penalty authorized by this subchapter can be returned to?",LABEL_0,37,0,1643,0,69,1680,69
Can you please explain the purpose of the AEDT in the bias audit for Local Law 144 and other policy documents?,LABEL_0,25,0,1600,0,229,1625,229
What is the definition of an automated employment decision tool and what penalties are imposed for violating its requirements?,LABEL_1,20,0,2676,0,199,2696,199
What are the requirements for a bias audit of an AEDT and what changes were made in the second version of the proposed rules?,LABEL_1,27,0,2166,0,332,2193,332
What is the definition of an automated employment decision tool and what is a bias audit?,LABEL_1,17,0,2516,0,253,2533,253
Where is a proceeding to recover a civil penalty returnable and who has the authority to initiate an action or proceeding for correction of a violation?,LABEL_1,28,0,2156,0,110,2184,110
"What are the requirements for an employer or employment agency to comply with § 20-871(b)(1) and (2) of the Code, and what information must they make publicly available before the use of an AEDT?",LABEL_1,47,0,2290,0,343,2337,343
What are the requirements for a bias audit and what is test data in the context of a bias audit?,LABEL_1,21,0,2038,0,162,2059,162
What is the definition of 'test data' and what are the requirements for a bias audit of an AEDT?,LABEL_1,24,0,2423,0,218,2447,218
What is the definition of test data and when can an employer or employment agency rely on a bias audit that uses test data?,LABEL_1,25,0,2327,0,156,2352,156
"What methods can an employer or employment agency use to provide notice to a candidate for employment, and what information must they make publicly available before the use of an AEDT?",LABEL_1,35,0,2048,0,246,2083,246
What is the definition of test data and what are the requirements for a bias audit of an AEDT?,LABEL_1,22,0,2423,0,178,2445,178
What is the purpose and when can an employer rely on a bias audit?,LABEL_1,15,0,2349,0,190,2364,190
What is the definition of an automated employment decision tool and what are the penalties for violating the requirements?,LABEL_1,20,0,2676,0,173,2696,173
What are the requirements for using an automated employment decision tool and what penalties are imposed for violating these requirements?,LABEL_1,21,0,2676,0,239,2697,239
"What are the requirements for an employer or employment agency to comply with § 20-871(b)(1) and (2) of the Code, and what information must be made publicly available before the use of an AEDT?",LABEL_1,47,0,1995,0,343,2042,343
"What is required for an employer or employment agency to use an automated employment decision tool, and what penalties can be imposed for violations of the subchapter regarding automated employment decision tools?",LABEL_1,35,0,2701,0,510,2736,510
What is the definition of 'Automated Employment Decision Tool' and what is a 'Bias audit'?,LABEL_1,20,0,2845,0,204,2865,204
What are the requirements for a bias audit and what is test data?,LABEL_1,14,0,2038,0,237,2052,237
What must an employer or employment agency provide in a bias audit and what are the options for providing notice to a candidate for employment?,LABEL_1,26,0,2052,0,314,2078,314
What are the requirements and purpose of conducting a bias audit?,LABEL_1,12,0,1964,0,186,1976,186
What is the meaning of 'simplified output' and 'impact ratio'?,LABEL_1,15,0,2634,0,169,2649,169
What is a bias audit and what information should be publicly available before using an AEDT?,LABEL_1,19,0,1978,0,183,1997,183
What is the definition of 'employment decision' and what are the requirements for using an automated employment decision tool?,LABEL_1,22,0,2387,0,382,2409,382
What are the requirements for a bias audit of an AEDT and what is test data?,LABEL_1,19,0,2052,0,196,2071,196
What is the purpose of a bias audit and under what circumstances can an employer rely on it using historical data from other employers?,LABEL_1,25,0,2450,0,84,2475,84
What is the definition of an automated employment decision tool and what are the requirements for using it?,LABEL_1,19,0,2791,0,423,2810,423
"What is the definition of an automated employment decision tool, and what are the penalties for violating the requirements associated with it?",LABEL_1,24,0,2676,0,314,2700,314
What is the relationship between the definition of 'test data' in a bias audit and the requirements for a bias audit of an AEDT?,LABEL_1,29,0,2038,0,114,2067,114
What is the relationship between the effective date of this local law and the file number and version of the associated document?,LABEL_2,23,0,2134,0,89,2157,89
What are the differences and similarities between the requirements for publicly available information on the employment section of a website before the use of an AEDT and the options for an employer or employment agency to provide notice to a candidate for employment regarding the use of an AEDT?,LABEL_1,54,0,2417,0,441,2471,441
How does the data requirements for a bias audit relate to the process of assessing the impact of an AEDT on different categories?,LABEL_1,26,0,2046,0,247,2072,247
"Where can a proceeding to recover a civil penalty be returnable, and who has the authority to initiate an action or proceeding for correction of any violation?",LABEL_1,30,0,2158,0,99,2188,99
What is the relationship between the definition of an automated employment decision tool and the requirements for using such a tool?,LABEL_1,22,0,2477,0,216,2499,216
"What is the relationship between test data and the requirements for a bias audit, and how do they differ?",LABEL_2,21,0,2064,0,139,2085,139
"What are the differences and similarities between 'selection rate' and 'scoring rate', and how do they relate to each other?",LABEL_1,26,0,2550,0,259,2576,259
What calculations are required in the bias audit and when can an independent auditor exclude a category from these calculations?,LABEL_1,21,0,1972,0,312,1993,312
What is the relationship between the definition of test data and when an employer or employment agency can rely on a bias audit that uses test data?,LABEL_1,28,0,2327,0,107,2355,107
"What is the relationship between the calculations in a bias audit of an AEDT and the requirements for the published results, and how do they differ?",LABEL_1,30,0,2030,0,227,2060,227
What is the relationship between the calculations required for the bias audit and the exclusion of categories from the impact ratio?,LABEL_1,22,0,2339,0,111,2361,111
What are the requirements and penalties associated with using an automated employment decision tool?,LABEL_1,15,0,2673,0,439,2688,439
"What is the relationship between an automated employment decision tool and the requirements for using it, and how do they impact employment decisions?",LABEL_2,25,0,2467,0,288,2492,288
"What are the requirements for an employer or employment agency to comply with § 20-871(b)(1) and (2) of the Code, and how do they compare to the information that must be made publicly available before the use of an AEDT?",LABEL_1,53,0,1995,0,305,2048,305
"What are the differences and similarities between the definitions of 'Scoring Rate' and 'Screen', and how do they relate to each other?",LABEL_1,28,0,2051,0,264,2079,264
What is the relationship between the definition of 'Automated Employment Decision Tool' and the requirement for using such a tool in the city?,LABEL_1,27,0,2396,0,188,2423,188
What is the relationship between the definition of 'employment decision' and the requirements for using an automated employment decision tool?,LABEL_1,23,0,2637,0,172,2660,172
What is the relationship between the requirements for a bias audit and the concept of test data?,LABEL_1,18,0,2038,0,89,2056,89
What is the relationship between the purpose of a bias audit and when an employer can rely on a bias audit that uses test data?,LABEL_1,26,0,2450,0,70,2476,70
"What are the definitions of 'Automated Employment Decision Tool' and 'Bias Audit', and how are they related according to § 20-870 of the Code?",LABEL_1,33,0,2530,0,209,2563,209
What are the requirements and penalties associated with the use of automated employment decision tools?,LABEL_2,16,0,2676,0,502,2692,502
"What are the requirements for an employer or employment agency to provide information about the use of an AEDT on their website, and how can they notify candidates about it?",LABEL_1,34,0,2048,0,309,2082,309
"What are the requirements for an employer to provide information on their website regarding their AEDT, and how does it compare to the notice requirements for candidates for employment?",LABEL_1,33,0,1946,0,335,1979,335
An employer in the city of New York wants to use an automated employment decision tool to screen candidates for a job position. What requirements must be met in order for the employer to use the tool?,LABEL_1,39,0,2713,0,217,2752,217
An employer has been using an AEDT for 3 years and will soon need an updated bias audit. Can the employer rely on a bias audit conducted using test data?,LABEL_1,35,0,1978,0,113,2013,113
"If an employer in New York City uses an automated employment decision tool to screen candidates for a promotion within the city, what information must be disclosed to the candidates?",LABEL_1,32,0,2611,0,182,2643,182
"If an employer or employment agency violates the requirements for using an automated employment decision tool, what penalties may they face?",LABEL_1,23,0,2701,0,175,2724,175
An employer wants to conduct a bias audit to assess the impact of their hiring process on different race/ethnicity categories. Can they rely on a bias audit that uses test data instead of historical data?,LABEL_1,40,0,2358,0,98,2398,98
Does this local law limit the authority of the commission on human rights to enforce the provisions of title 8?,LABEL_0,22,0,1245,0,51,1267,51
An employer in the city wants to use an AEDT for employment decisions. How should the employer provide notice to candidates for employment who reside in the city?,LABEL_1,32,0,2510,0,129,2542,129
"If an employer or employment agency uses an automated employment decision tool to screen a candidate or employee for an employment decision in New York City, what notices are they required to provide?",LABEL_1,35,0,2611,0,240,2646,240
An employer uses an AEDT to score applicants for 'culture fit.' The AEDT conducted a bias audit that excluded a category representing less than 2% of the data used. Is this exclusion allowed under the law?,LABEL_1,46,0,1968,0,117,2014,117
"If an employer in the city of New York uses an automated employment decision tool to screen a candidate for an employment decision, what are the requirements under the law?",LABEL_1,32,0,2451,0,314,2483,314
"An employer is using an AEDT to screen candidates for a job position. The AEDT assesses candidates based on 'culture fit.' According to the provided context, what are the requirements for conducting a bias audit of the AEDT?",LABEL_1,50,0,2180,0,130,2230,130
Suppose an employer in New York City uses an automated employment decision tool to screen candidates for employment. What are the requirements for the use of such a tool according to the local law?,LABEL_1,37,0,2552,0,373,2589,373
"An employer in the city of New York wants to use an automated employment decision tool to screen candidates for a job opening. According to the provided context, what requirements must the employer fulfill before using the tool?",LABEL_1,41,0,2382,0,176,2423,176
An employer has been using an AEDT for 3 years and will soon need an updated bias audit. Can the employer rely on a bias audit conducted using historical data from its own use of the AEDT?,LABEL_1,44,0,2052,0,58,2096,58
An employer in New York City wants to use an automated employment decision tool to screen candidates for a job opening. What requirements must the employer meet in order to use the tool?,LABEL_1,35,0,2382,0,262,2417,262
"If a person wants to initiate a proceeding to recover a civil penalty authorized by this subchapter, where can the proceeding be returnable?",LABEL_0,27,0,1686,0,81,1713,81
"If a person wants to recover a civil penalty authorized by this subchapter, where can they bring a proceeding?",LABEL_1,22,0,2007,0,54,2029,54
"An employer in the city uses an automated employment decision tool to screen candidates for a job position. According to the provided context, what requirements must be met for the use of such tool to be lawful?",LABEL_1,40,0,2552,0,320,2592,320
"An employer uses an AEDT to score applicants for 'culture fit.' According to the provided context, what must the employer ensure in order to use the AEDT?",LABEL_1,35,0,2180,0,73,2215,73
An employer wants to use an AEDT to screen resumes and schedule interviews for a job posting. What are the requirements for a bias audit of the AEDT?,LABEL_1,34,0,1978,0,185,2012,185
"Suppose an employer in New York City uses an automated employment decision tool to make hiring decisions. According to the rules mentioned in the context, what are the requirements for the use of such a tool under Local Law 144 of 2021?",LABEL_0,49,0,2214,0,289,2263,289
An employer wants to use an AEDT to screen resumes and schedule interviews for a job posting. Does the employer need to conduct a bias audit of the AEDT?,LABEL_1,35,0,2349,0,75,2384,75
"If an employer in New York City uses an automated employment decision tool to screen candidates or employees for an employment decision, what requirements must be met?",LABEL_1,29,0,2245,0,240,2274,240
An employer in the city of New York wants to use an automated employment decision tool to screen candidates for a job opening. What requirements must the employer meet in order to use the tool?,LABEL_1,37,0,2382,0,242,2419,242
What is the purpose?,LABEL_0,5,0,1323,0,75,1328,75
What calculations are required?,LABEL_1,5,0,2199,0,254,2204,254
What should be in the summary?,LABEL_0,7,0,1162,0,174,1169,174
What is the role of the AEDT?,LABEL_0,10,0,1638,0,90,1648,90
What is the purpose of a bias audit?,LABEL_0,9,0,1795,0,120,1804,120
What are the requirements?,LABEL_1,5,0,1995,0,185,2000,185
What is an automated employment decision tool?,LABEL_0,8,0,1841,0,92,1849,92
What does 'Bias Audit' mean?,LABEL_0,8,0,998,0,100,1006,100
What are the criteria for a bias audit?,LABEL_1,9,0,1902,0,164,1911,164
What does an automated employment decision tool mean?,LABEL_0,9,0,2214,0,90,2223,90
What are the criteria for an AEDT bias audit?,LABEL_1,12,0,2533,0,160,2545,160
Where can the proceeding be brought?,LABEL_0,7,0,1461,0,42,1468,42
What is the meaning of 'selection rate'?,LABEL_0,9,0,1784,0,80,1793,80
Where can it be returned to?,LABEL_0,7,0,1269,0,61,1276,61
What does 'Impact Ratio' mean?,LABEL_0,8,0,1668,0,93,1676,93
What is the meaning of 'Bias Audit'?,LABEL_0,9,0,1075,0,103,1084,103
What are the conditions?,LABEL_0,5,0,1325,0,317,1330,317
What needs to be publicly available?,LABEL_0,7,0,1654,0,141,1661,141
What are the notification options?,LABEL_1,6,0,1962,0,121,1968,121
Where is the proceeding returnable?,LABEL_0,7,0,1280,0,60,1287,60
What does 'Historical data' mean?,LABEL_0,9,0,1587,0,51,1596,51
What are the required calculations?,LABEL_1,6,0,2199,0,137,2205,137
What are the requirements for the results?,LABEL_1,8,0,2084,0,165,2092,165
What's included in the summary?,LABEL_0,7,0,1161,0,100,1168,100
What is the role of a bias audit in relation to automated employment decision tools?,LABEL_0,16,0,1585,0,158,1601,158
What is the legislation that would come 5 years after this one?,LABEL_0,14,0,1527,0,22,1541,22
Which specifc people (give names) have developed the AEDT software?,LABEL_0,17,0,1172,0,21,1189,21
What additional specific data would need to be provided if we conduct a Bias Audit in Australia?,LABEL_0,18,0,1411,0,93,1429,93
What was the specific words said by the stakeholders when they reviewed the proposed rules?,LABEL_0,16,0,1820,0,67,1836,67
How long does the data retention policy under GDPR require the employer or employment agency to retain the information?,LABEL_2,20,0,2646,0,31,2666,31
Has there been a rule passed in New Zealand like this that was passed unanimously?,LABEL_0,16,0,1777,0,37,1793,37
